sequence_id,address,tx_type,tokenid,amount,rate,blocktimestamp,pool
2695,0xBEE0cAc46F8d908cF6ab0d27854973248447c9dD,Deposit,0x1a77,5000.0,0.04,1665088388,ZigZag-USDC-2Mo
2721,0xCa26f58a0a6d0bc06354305f46C4225FcE7AA550,Deposit,0x1a65,8.003089,0.03,1665048398,ZigZag-USDC-2Mo
2748,0xe4148d1b27D13be271Fa3cA65AdB3A45F2093E23,Deposit,0x1a5d,61.113601,0.04,1665038330,ZigZag-USDC-2Mo
2777,0x9E4D15E0ECB571E7e66831334519C76130f29636,Deposit,0x1a4e,30.0,0.07,1664969821,ZigZag-USDC-2Mo
2787,0xe099d39b893f81CaCab91436549D22EF8171d4E0,Deposit,0x1a48,40.0,0.06,1664969089,ZigZag-USDC-2Mo
2790,0xE7a2E3c4E89e454606409C40D6c63DC5e2AdDCbd,Deposit,0x1a46,105.5,0.07,1664968769,ZigZag-USDC-2Mo
2793,0xE7a2E3c4E89e454606409C40D6c63DC5e2AdDCbd,Deposit,0x1a45,60.0,0.07,1664968421,ZigZag-USDC-2Mo
2799,0x7334Da6b036E0793730DbAC73E78D0E109844Be5,Deposit,0x1a42,30.0,0.06,1664967669,ZigZag-USDC-2Mo
2806,0x7BF49814598924b1Ab2A33ad815054B6367CDDd0,Deposit,0x1a3f,50.0,0.05,1664965935,ZigZag-USDC-2Mo
2993,0x84CEA2A5d09bF9325B40C2022fadF46dbEE9E5f6,Deposit,0x19d7,150.0,0.02,1664661604,ZigZag-USDC-2Mo
3009,0x84CEA2A5d09bF9325B40C2022fadF46dbEE9E5f6,Deposit,0x19cf,150.0,0.02,1664625446,ZigZag-USDC-2Mo
3015,0x84CEA2A5d09bF9325B40C2022fadF46dbEE9E5f6,Deposit,0x19cc,150.0,0.02,1664624120,ZigZag-USDC-2Mo
3027,0x97a161eBfa5778E802209584B370E315aE566768,Deposit,0x19c5,247.650052,0.02,1664617880,ZigZag-USDC-2Mo
3036,0x56Bf3Dfcec4B1FdDa166b6bc504e215fA843823b,Deposit,0x19bf,150.0,0.02,1664615362,ZigZag-USDC-2Mo
3120,0xD244579E5ab75A2f05888995084eD850C875F728,Deposit,0x1979,10.0,0.02,1664491673,ZigZag-USDC-2Mo
3167,0x3844597c2b75E8510d8895173adDC28dd995fA45,Deposit,0x1954,129.23358,0.05,1664422137,ZigZag-USDC-2Mo
3249,0x56Bf3Dfcec4B1FdDa166b6bc504e215fA843823b,Deposit,0x192b,150.0,0.02,1664356784,ZigZag-USDC-2Mo
3270,0xe45419390B38f2A90645a8930cE4039D99F116f7,Deposit,0x191c,20.0,0.04,1664337342,ZigZag-USDC-2Mo
3286,0x06289158fC0B3A770F90AA1a342a6C5046C5e88b,Deposit,0x190e,150.0,0.02,1664320041,ZigZag-USDC-2Mo
3299,0xC091BBEacE46D402ffc216D6b80a263638D630F8,Deposit,0x1909,101.0,0.04,1664284436,ZigZag-USDC-2Mo
3304,0x06289158fC0B3A770F90AA1a342a6C5046C5e88b,Deposit,0x1907,150.0,0.02,1664276284,ZigZag-USDC-2Mo
3310,0x06289158fC0B3A770F90AA1a342a6C5046C5e88b,Deposit,0x1904,150.0,0.02,1664275112,ZigZag-USDC-2Mo
3353,0x06C90744b36Fefc20d17018Ba3dc31a00e922222,Deposit,0x18f0,11.0,0.1,1664223991,ZigZag-USDC-2Mo
3383,0x5D0474e942Db8e94ba6D0A99Af8a07584196ccF0,Deposit,0x18e5,150.0,0.02,1664181945,ZigZag-USDC-2Mo
3390,0x5D0474e942Db8e94ba6D0A99Af8a07584196ccF0,Deposit,0x18e1,150.0,0.02,1664181451,ZigZag-USDC-2Mo
3468,0x8f9bE4310f9AbB0E5843Cc6363908C9B01dfeB3F,Deposit,0x18ce,507.0,0.04,1664161257,ZigZag-USDC-2Mo
3481,0x7F51c8447eE363d7bE2705163CC81f524685A008,Deposit,0x18cc,110.0,0.05,1664154021,ZigZag-USDC-2Mo
3519,0x5D0474e942Db8e94ba6D0A99Af8a07584196ccF0,Deposit,0x18c1,150.0,0.02,1664094669,ZigZag-USDC-2Mo
3543,0x659fBc0Fc53EA0368793585d1e2C76d6eF48Bf4e,Deposit,0x18b0,101.781282,0.02,1664051376,ZigZag-USDC-2Mo
3679,0xA8c73ee57C268872B9D2D7A90E5F2e31AF8493Fb,Deposit,0x1854,100.004403,0.04,1663933647,ZigZag-USDC-2Mo
3689,0x75d558522dD28cCd32C15d7326C68D853A1449fe,Deposit,0x184d,101.0,0.03,1663923327,ZigZag-USDC-2Mo
3690,0x1E97d737786Df74228eEd4862d222bDa6ADc11b2,Deposit,0x184c,70.0,0.04,1663919074,ZigZag-USDC-2Mo
3714,0x97a1CA841B4792068932D4224681f6F6fa22C549,Deposit,0x1836,20.0,0.03,1663883263,ZigZag-USDC-2Mo
3738,0x97FFE6e22BB6436B90a7B452899fBE6F2A78dd2c,Deposit,0x1825,150.0,0.02,1663837538,ZigZag-USDC-2Mo
3744,0x97FFE6e22BB6436B90a7B452899fBE6F2A78dd2c,Deposit,0x1822,150.0,0.02,1663837020,ZigZag-USDC-2Mo
3788,0x806259e10f7f420B73c2050451c7CeBd24a7898f,Deposit,0x17fd,400.0,0.03,1663784969,ZigZag-USDC-2Mo
3930,0xbE857415330B15070337073692358f72FaFD087b,Deposit,0x177f,50.0,0.04,1663724581,ZigZag-USDC-2Mo
3959,0xc1FCe0c315407654d6f8205db4C47B113A4BAB8e,Deposit,0x1767,130.0,0.03,1663696912,ZigZag-USDC-2Mo
3965,0x1f1E91Ab8B0b2AbfEE7eBF56342EeD1e0C06BB7B,Deposit,0x1762,111.0,0.04,1663691411,ZigZag-USDC-2Mo
3970,0x3Af0f49Ae5accCEec4289aD7DF477409b248B529,Deposit,0x175e,105.0,0.04,1663689295,ZigZag-USDC-2Mo
3971,0x669A623c4851860721045cDF3337d556Ed4341a1,Deposit,0x175d,35.0,0.04,1663689099,ZigZag-USDC-2Mo
4007,0x92c009B65C20614181059D1B4eA088Bb0C4e4646,Deposit,0x173b,10.0,0.04,1663675085,ZigZag-USDC-2Mo
4018,0x3Eedb85DA27CAC4ec83ab5A8A38F18b0eDbC7042,Deposit,0x1732,150.0,0.05,1663671823,ZigZag-USDC-2Mo
4050,0xcE7aa287D1643de194c65e25E959b14158aF4cE5,Deposit,0x1722,100.0,0.05,1663666920,ZigZag-USDC-2Mo
4052,0x97FFE6e22BB6436B90a7B452899fBE6F2A78dd2c,Deposit,0x1721,150.0,0.02,1663666642,ZigZag-USDC-2Mo
4090,0x77BBcffB0042a4c563C503818E278d2c6A776983,Deposit,0x1706,8.0,0.04,1663656038,ZigZag-USDC-2Mo
4099,0x24902fc7A499784A48Aa8737A3162bF1171b716F,Deposit,0x16fe,11.860294,0.04,1663651429,ZigZag-USDC-2Mo
4134,0xfB546ED2B972A5677A645A4e81E75693DD3030eC,Deposit,0x16de,10.0,0.04,1663617303,ZigZag-USDC-2Mo
4171,0x62261fFE617505213c5086f0ED87e561a2bbcF4f,Deposit,0x16bd,61.137241,0.04,1663576448,ZigZag-USDC-2Mo
4211,0x286CA25771c859738f37FA425474E9D11CfF94dc,Deposit,0x16a5,200.0,0.08,1663089462,ZigZag-USDC-2Mo
4234,0x75901F889236BF48934b7c2DDB109bEc172E2322,Deposit,0x169e,14.303546,0.05,1662931349,ZigZag-USDC-2Mo
4298,0x3844597c2b75E8510d8895173adDC28dd995fA45,Deposit,0x167e,265.578902,0.05,1662420224,ZigZag-USDC-2Mo
4299,0x3844597c2b75E8510d8895173adDC28dd995fA45,Deposit,0x167d,55.0,0.04,1662420186,ZigZag-USDC-2Mo
4304,0x62261fFE617505213c5086f0ED87e561a2bbcF4f,Deposit,0x1679,40.148868,0.05,1662345365,ZigZag-USDC-2Mo
4315,0xF8A7d7b73EaE24981C4d4995CF84409daDDD5306,Deposit,0x1670,50.0,0.04,1662309229,ZigZag-USDC-2Mo
4325,0xE9C39A6CC894eb385fEaC19b84A5615961eaee11,Deposit,0x1668,5.008569,0.04,1662207200,ZigZag-USDC-2Mo
4414,0xA29012a376716FBD163aE8693974422EaF4B194c,Deposit,0x1641,42.0,0.09,1661513585,ZigZag-USDC-2Mo
4429,0xD95881e8A2C45299E664a9d56aA54374430A7C27,Deposit,0x1636,105.0,0.04,1661413610,ZigZag-USDC-2Mo
4433,0x14Ff0Bc9417B6796f79768729002A793b51205B8,Deposit,0x1632,30.0,0.05,1661394630,ZigZag-USDC-2Mo
4462,0x3844597c2b75E8510d8895173adDC28dd995fA45,Deposit,0x1622,355.0,0.04,1661218702,ZigZag-USDC-2Mo
4508,0x3844597c2b75E8510d8895173adDC28dd995fA45,Deposit,0x1618,591.611071,0.03,1661046057,ZigZag-USDC-2Mo
4542,0x62261fFE617505213c5086f0ED87e561a2bbcF4f,Deposit,0x1601,96.580114,0.04,1660873655,ZigZag-USDC-2Mo
4603,0xf2C5BA0a60B8be69ED646a59f480A21064809baa,Deposit,0x15dd,50.0,0.04,1660565373,ZigZag-USDC-2Mo
4605,0xEabac0dfb1Bf02Af410E2147951f4976292C5C60,Deposit,0x15db,250.0,0.04,1660563831,ZigZag-USDC-2Mo
4624,0x2bA0fCC894522DF700060a6015f7e96537B18412,Deposit,0x15d6,105.0,0.15,1660538527,ZigZag-USDC-2Mo
4627,0x8f9bE4310f9AbB0E5843Cc6363908C9B01dfeB3F,Deposit,0x15d5,500.0,0.04,1660534826,ZigZag-USDC-2Mo
4638,0x55D554BfdE1E61c72fa3C9059cDf3f739d92679a,Deposit,0x15d3,100.0,0.04,1660513567,ZigZag-USDC-2Mo
4648,0xfc1fa03C485366067eBEF2186CFA652852c4C4b0,Deposit,0x15d0,17.973601,0.04,1660511343,ZigZag-USDC-2Mo
