id,tx_hash,block_number,maker_symbol_id,taker_symbol_id,taker_address,taker_amount,maker_address,maker_amount,created_at
2169534,0xd1c1a4c6227191b26f5536c0e661b6019496bf0afce1d728055903976ce7dc6d,91890,2,173,0xe76a7d90302d5edae98431647a1e235f789727f5,5046205,0x27a2c7121e287478375ec8c64fdfa31e97038c03,1430665265400000000,2022-06-27 10:33:28.104
2169555,0x0a05797a65929f08b4d2fd4e9e7963d2b6aec9b19c7c01303a3fd334b0674c8e,91891,2,173,0x26871939dd1f1f2652906c5bf1df6975eff32910,4735225,0x27a2c7121e287478375ec8c64fdfa31e97038c03,1349621933400000000,2022-06-27 10:45:50.904
2169584,0x6190b39aaab3bc2ec8f14ca8357f640051f6df426a5a0ed1a54b160f947a007a,91891,2,173,0xde271253f0239082b4ce2e21b90b0667f95003f7,8959935,0xd3f6f885e0e66c7efadf8a312a929527a03ea9e0,2568742849800000000,2022-06-27 10:40:12.103
2169587,0x7bbb20b8da0cbb9c894e65fc65eb12daa3ad273c8a3bbd113547c162f8635eb5,91891,2,173,0xe3b0102609d39e4235e6e6a3fd6b20bb55b84b9f,5406635,0x27a2c7121e287478375ec8c64fdfa31e97038c03,1536059237700000000,2022-06-27 10:40:00.118
2169602,0x54ca44de4b78b7dfa1dc047b2d2e2d95f263f9ab8eac614a11663d619e59b78f,91892,2,173,0x8e0a511f2f44a926c631239b1f0ad5be3e27335f,6270650,0x27a2c7121e287478375ec8c64fdfa31e97038c03,1799169715900000000,2022-06-27 10:52:13.304
2169657,0x96728b8e91c364eb1cf3c4339b891d3f63441b674298c517b09a704367ded927,91893,2,173,0x9db92d206c820f3527ae3dd40488d80037bac3c1,4447095,0x27a2c7121e287478375ec8c64fdfa31e97038c03,1266378067900000000,2022-06-27 10:57:17.303
2169693,0xf1a088ce69b5cf3c8c560023d4240b708c80527f8596ebda83a8721b9339c171,91894,2,173,0x9a608d9f416518b5f11acf3dc5594c90d6998e2c,12998715,0xd3f6f885e0e66c7efadf8a312a929527a03ea9e0,3736853315000000000,2022-06-27 11:04:42.102
2169823,0xa8fbc6099db8472dd847c40a1c493687a74b2ad6429007997d304d9559d00153,91896,2,173,0xf41733d952338540b6f1e07480fdbeb3f7919bbd,7148120,0xd3f6f885e0e66c7efadf8a312a929527a03ea9e0,2046467189400000000,2022-06-27 11:16:39.706
2169838,0x25954c5679c60e1addc0a57b534339b14a4118869fec2adec68ee4da35757ba3,91897,2,173,0xcabba9cfe08921d083ea7aab4ad83fa396162e8d,7683926,0xd3f6f885e0e66c7efadf8a312a929527a03ea9e0,2196924613000000000,2022-06-27 11:27:20.904
2169855,0xe2f7de471b49dac86dbe41b0dc26515ad0f3ca71054f4de82b3fe78d5bd49ab3,91897,2,173,0xad01c8aa5975cf78fd49a33216dfe62cc14cd980,7339038,0xd3f6f885e0e66c7efadf8a312a929527a03ea9e0,2097064403300000000,2022-06-27 11:25:41.303
2169883,0xf567b4d439773019ac7e02ca5bce6cb7123845fccd74c98bc45091e77952da4a,91898,2,173,0xd6e19fe59a4acb06f83e90a71a00768e44375f1f,9507985,0xd3f6f885e0e66c7efadf8a312a929527a03ea9e0,2720235798200000000,2022-06-27 11:37:26.903
2169903,0xbd080d3bc24b0f38eade28c3a45fb9a2fdc8ffe649089c6fda6477d06532bdaa,91898,2,173,0x46b830bf2c258f5a7db64eb9a96706a91132715e,3893623,0x27a2c7121e287478375ec8c64fdfa31e97038c03,1098462306500000000,2022-06-27 11:30:59.404
2169946,0x092d300893ec7dbf0d6fe7c563821aab5bb15d063d78a2af32e533af073a1887,91899,2,173,0x4799d3f5a545dfdc1a69c23705476fd82bb9a13e,4261250,0x27a2c7121e287478375ec8c64fdfa31e97038c03,1210409235900000000,2022-06-27 11:41:28.904
2170160,0xa54140b1636379dc4eded66e5af7f81affae2a2b4c31a32e4a2b58a1328b508e,91905,2,173,0xa24129a554e366526666cdc8da0a9d1dc7b70f51,3014110,0x7a0e0da0613bb129b26b002831b89cd9d233192e,1019060890200000000,2022-06-27 12:40:33.304
2170168,0x3ee48ea4d36c9c395bc5952e9a3c2e926351bdcf35a6905016f89d378f929f7e,91905,2,173,0xe74dc69d54ad1823eca94723326cef733c19881f,28443910,0x7a0e0da0613bb129b26b002831b89cd9d233192e,9986020968000000000,2022-06-27 12:39:06.103
2170207,0x22572e69553dcb94d3ea1d1f91ebbe76fc5129c81727df228f5b607eae5d11b9,91906,2,173,0x39b370dca90663ffdd30838cd97c93a5042cceaa,2911535,0x7a0e0da0613bb129b26b002831b89cd9d233192e,1000099999900000000,2022-06-27 12:46:22.903
2170216,0x5b084802e2fd093d52fbb7f03f233942a555fe35af2797f40a547a8aea772895,91906,2,173,0xb665f9c9f274db218000e60e52105630ba77a521,3087840,0x7a0e0da0613bb129b26b002831b89cd9d233192e,1052242077000000000,2022-06-27 12:44:45.703
2170221,0x53bd89ef76818ad4ceb8dcfd88d1e142ed351c70ca7f3ea42dd1863b46b3e693,91906,2,173,0xa68550ed3a0b9e80c691f7542663c1e62c90d85d,20816355,0x7a0e0da0613bb129b26b002831b89cd9d233192e,7301271554000000000,2022-06-27 12:43:52.504
2170230,0x4e84b41d90e00269b2a192821737745ce4b24457a234a1187b0eb83dfb4f8f1b,91906,2,173,0xa68550ed3a0b9e80c691f7542663c1e62c90d85d,5796895,0x7a0e0da0613bb129b26b002831b89cd9d233192e,1997204193700000000,2022-06-27 12:42:18.904
2170233,0x534bcd16e0efe7bae687acdc94dc81c39d4f7aff117e21c26632e49a36374a6f,91906,2,173,0x32512c3b2f1f89dee76353a1d1ac5c0aa10fec1e,3030455,0x7a0e0da0613bb129b26b002831b89cd9d233192e,1025586027000000000,2022-06-27 12:42:00.904
2170249,0xc72a6b6034773bb030baeb1c926cafa45ec2872e551470f27c7c475295baefb3,91906,2,173,0x3fd71bf9a4337c5e05eb91f2525ba8a1b0f471ba,940954110,0x7a0e0da0613bb129b26b002831b89cd9d233192e,332249550840000000000,2022-06-27 12:40:43.302
2170254,0xa29534093b4deee04a607190484e4c6eb1b5eaeea473b4892731e711ed8bc647,91907,2,173,0xb18da1b7ae1a53676eab1213cbdac1eaf0e84654,3001342,0x7a0e0da0613bb129b26b002831b89cd9d233192e,1008588187600000000,2022-06-27 12:53:55.303
2170266,0xc345d626e09fb692c60b6839ccbe2b3bea5aaa774417366c8ba1b4c16dbff103,91907,2,173,0x0a2e7da7fe0b69d7485b97486dc153fa6ed1b7ce,3001342,0x7a0e0da0613bb129b26b002831b89cd9d233192e,1008588187600000000,2022-06-27 12:52:59.304
2170285,0xea89700027a9a0a4827a1410174087c579992221f91a7d56c2437b82ac730433,91907,2,173,0x3d29e6ebfc873177bcd8db78968bf05ab6cefa99,3012080,0x7a0e0da0613bb129b26b002831b89cd9d233192e,1023188507300000000,2022-06-27 12:50:10.903
2170291,0xbc24ad57e2c5a186b237faea045815d7ca65eaafdb3be9b22c42daf7c5e482fc,91907,2,173,0xab5819fb2f48f6d5a6300e59cc7dd724402e299a,5801840,0x7a0e0da0613bb129b26b002831b89cd9d233192e,1997204193700000000,2022-06-27 12:49:36.504
2170294,0x4eb06e41beb93188c098a92dbae557f5c11b3681687da22bfd0c1db356becaf4,91907,2,173,0x6d8c630cd19b2861e2c1aea129657d661df04649,3037380,0x7a0e0da0613bb129b26b002831b89cd9d233192e,1023945252800000000,2022-06-27 12:49:09.703
2170297,0x85a7315d144aa39b873958642728a24596d6a161705cfe3158c0f2a5272eec6d,91907,2,173,0xc45e7cc1e68f91ac6f1109b4f76eaa529fa4dee9,14433895,0x7a0e0da0613bb129b26b002831b89cd9d233192e,4993010484000000000,2022-06-27 12:48:12.104
2170298,0xe829d0036e9db42d1e50e88fa06acc704cc1281764e147f72db11fbcd3914253,91907,2,173,0xff58b607f5e0f851b5f1bde6c5ba5db8534e04c1,3019645,0x7a0e0da0613bb129b26b002831b89cd9d233192e,1027552752300000000,2022-06-27 12:47:52.102
2170299,0x510121088d0662c2ab4d33c039bd73a1b99b4351a4353ab2d921f1a9c1360d07,91907,2,173,0x3fd71bf9a4337c5e05eb91f2525ba8a1b0f471ba,940906545,0x7a0e0da0613bb129b26b002831b89cd9d233192e,328973729970000000000,2022-06-27 12:47:49.702
2170302,0x1ce5dba0ef8934da093756b7098d5007f6cf5c1fa797bdf93f9d9237b841055e,91907,2,173,0x3fd71bf9a4337c5e05eb91f2525ba8a1b0f471ba,940906545,0x7a0e0da0613bb129b26b002831b89cd9d233192e,328973729970000000000,2022-06-27 12:47:35.305
